Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Nick Young,1m98,28,64,17.9,2.6,1.5
Pau Gasol,2m15,33,60,17.4,9.7,3.4
Jodie Meeks,1m93,26,77,15.7,2.5,1.8
Kobe Bryant,2m01,35,6,13.8,4.3,6.3
Kent Bazemore,1m98,24,23,13.1,3.3,3.1
Chris Kaman,2m13,31,39,10.4,5.9,1.5
Jordan Farmar,1m87,27,41,10.1,2.5,4.9
Xavier Henry,2m00,22,43,10,2.7,1.2
Jordan Hill,2m08,26,72,9.7,7.4,0.8
Steve Blake,1m91,33,27,9.5,3.8,7.6
Wesley Johnson,2m01,26,79,9.1,4.4,1.6
Manny Harris,1m96,24,9,8.1,3.8,1.2
Ryan Kelly,2m10,22,59,8,3.7,1.6
Kendall Marshall,1m92,22,54,8,2.9,8.8
Steve Nash,1m91,39,15,6.8,1.9,5.7
Marshon Brooks,1m95,24,18,6.4,1.7,1.2
Shawne Williams,2m05,27,36,5.6,4.6,0.8
Robert Sacre,2m13,24,65,5.4,3.9,0.8
Elias Harris,2m03,24,2,0,0.5,0.5
