Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Pau Gasol,2m15,21,82,17.6,8.9,2.7
Jason Williams,1m86,26,65,14.8,3,8
Shane Battier,2m03,23,78,14.4,5.4,2.8
Lorenzen Wright,2m12,26,43,12,9.4,1
Stromile Swift,2m07,22,68,11.8,6.3,0.7
Michael Dickerson,1m96,26,4,10.8,3,2.3
Rodney Buford,1m96,24,63,9.4,4.3,1.1
Brevin Knight,1m79,26,53,7,2.1,5.7
Grant Long,2m07,35,66,6.3,3.5,2.1
Tony Massenburg,2m07,34,73,5.5,4.4,0.4
Elliot Perry,1m84,32,2,5.5,2,3.5
Will Solomon,1m85,23,62,5.2,1.1,1.5
Edward Gill,1m83,23,23,5,1.2,2.1
Nick Anderson,1m99,33,15,4,2.2,0.9
Antonis Fotsis,2m08,20,28,3.9,2.2,0.4
Isaac Austin,2m09,32,21,3.6,3.4,0.6
Isaac Fontaine,1m91,26,6,1.8,0.8,0.7
