Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Pau Gasol,2m15,25,80,20.4,8.9,4.6
Mike Miller,2m04,25,74,13.7,5.4,2.7
Eddie Jones,1m99,34,75,11.8,3.7,2.4
Damon Stoudamire,1m79,32,27,11.7,3.5,4.7
Chucky Atkins,1m81,31,43,11.4,1.7,3
Bobby Jackson,1m86,32,71,11.4,3.1,2.7
Shane Battier,2m03,27,81,10.1,5.3,1.7
Lorenzen Wright,2m12,30,78,5.8,5.1,0.6
Iakovos Tsakalidis,2m18,26,51,5,4.2,0.3
Hakim Warrick,2m04,23,68,4.1,2.1,0.4
Dahntay Jones,1m96,25,71,4,1.5,0.5
Brian Cardinal,2m04,28,36,3.4,1.5,0.9
Anthony Roberson,1m88,22,16,2.2,0.4,0.3
Antonio Burks,1m79,25,57,2,0.6,1.3
Lawrence Roberts,2m06,23,33,1.5,1.5,0.2
John Thomas,2m07,30,3,1.3,0,0.3
