Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Kobe Bryant,2m01,30,82,26.8,5.2,4.9
Pau Gasol,2m15,28,81,18.9,9.6,3.5
Andrew Bynum,2m13,21,50,14.3,8,1.4
Lamar Odom,2m09,29,78,11.3,8.2,2.6
Derek Fisher,1m86,34,82,9.9,2.3,3.2
Trevor Ariza,2m04,23,82,8.9,4.3,1.8
Jordan Farmar,1m87,22,65,6.4,1.8,2.4
Vladimir Radmanovic,2m06,28,46,5.9,2.5,0.8
Sasha Vujacic,1m98,24,80,5.8,1.7,1.4
Luke Walton,2m04,28,65,5,2.8,2.7
Josh Powell,2m05,25,60,4.2,2.9,0.5
Shannon Brown,1m93,23,18,3.2,1.1,0.6
Didier Mbenga,2m13,28,23,2.7,1.3,0.4
Chris Mihm,2m14,29,18,2,1.9,0.6
Adam Morrison,2m03,24,8,1.3,1,0.4
Yue Sun,2m06,23,9,0.7,0,0.2
