Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Rudy Gay,2m05,25,65,19,6.4,2.3
Marc Gasol,2m15,26,65,14.6,8.9,3.1
Mike Conley,1m85,24,62,12.7,2.5,6.5
O.J. Mayo,1m93,24,66,12.6,3.2,2.6
Zach Randolph,2m06,30,28,11.6,8,1.7
Tony Allen,1m93,29,58,9.8,4,1.4
Marreese Speights,2m10,24,59,8.9,6.3,0.8
Dante Cunningham,2m05,24,64,5.2,3.8,0.6
Gilbert Arenas,1m91,29,17,4.2,1.1,1.1
Quincy Pondexter,2m00,23,64,4.2,2,0.4
Sam Young,1m98,26,21,3.5,2,0.4
Lester Hudson,1m91,27,3,3,0,0.3
Jeremy Pargo,1m87,25,44,2.9,0.8,1.3
Josh Selby,1m88,20,28,2.3,0.5,1.1
Hamed Haddadi,2m18,26,34,2.1,2.1,0.2
Josh Davis,2m03,31,15,1.9,1.8,0.4
Brian Skinner,2m06,35,1,0,0,0
