Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Zach Randolph,2m06,28,81,20.8,11.7,1.8
Rudy Gay,2m05,23,80,19.6,5.9,1.9
O.J. Mayo,1m93,22,82,17.5,3.8,3
Marc Gasol,2m15,24,69,14.6,9.3,2.4
Allen Iverson,1m84,34,3,12.3,1.3,3.7
Mike Conley,1m85,22,80,12,2.4,5.3
Sam Young,1m98,24,80,7.4,2.5,0.7
Darrell Arthur,2m06,21,32,4.5,3.4,0.5
Marcus Williams,1m90,24,62,4.3,1.5,2.6
Lester Hudson,1m91,25,9,4,1.1,0.6
Jamaal Tinsley,1m91,31,38,3.5,1.7,2.8
Hasheem Thabeet,2m21,22,68,3.1,3.6,0.2
DeMarre Carroll,2m00,23,69,3,2.2,0.5
Steven Hunter,2m13,28,21,2.5,2,0
Ronnie Brewer,2m00,24,5,2,1.4,0.6
Hamed Haddadi,2m18,24,36,1.7,2.1,0.3
Trey Gilder,2m05,24,2,1,0.5,0
