Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Mike Conley,1m85,31,70,21.1,3.4,6.4
Jonas Valanciunas,2m10,26,19,19.9,10.7,2.2
Avery Bradley,1m90,28,14,16.1,3.1,4
Marc Gasol,2m15,33,53,15.7,8.6,4.7
Jaren Jackson Jr.,2m09,19,58,13.8,4.7,1.1
Delon Wright,1m96,26,26,12.2,5.4,5.3
Tyler Zeller,2m12,28,4,11.5,4.5,0.8
Jamychal Green,2m03,28,41,9.8,6.1,0.9
Tyler Dorsey,1m95,22,21,9.8,3.3,1.9
Justin Holiday,2m00,29,44,9.5,3.5,1.4
Garrett Temple,1m95,32,49,9.4,3.1,1.4
C.J. Miles,1m98,31,13,9.3,2.1,1.1
Bruno Caboclo,2m06,23,34,8.3,4.6,1.5
Kyle Anderson,2m02,25,43,8,5.8,3
Shelvin Mack,1m93,28,53,7.9,1.9,3.4
Dillon Brooks,1m96,22,18,7.5,1.7,0.9
Chandler Parsons,2m08,30,25,7.5,2.8,1.7
Joakim Noah,2m10,33,42,7.1,5.7,2.1
Marshon Brooks,1m95,29,29,6.6,1.6,0.9
Omri Casspi,2m06,30,36,6.3,3.2,0.7
Ivan Rabb,2m08,21,49,5.8,4.2,1.1
Wayne Selden,1m96,24,32,5.4,1.4,1.1
Jevon Carter,1m88,23,39,4.4,1.7,1.8
Dusty Hannahs,1m92,25,2,4,0.5,2.5
Yuta Watanabe,2m06,24,15,2.6,2.1,0.5
Julian Washburn,2m03,27,18,2.2,2.3,0.8
Andrew Harrison,1m95,24,1,2,0,0
D.J. Stephens,1m98,28,1,2,0,0
