Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Michael Jordan,1m99,21,82,28.2,6.5,5.9
Orlando Woolridge,2m06,25,77,22.9,5.6,1.8
Quintin Dailey,1m88,23,79,16,2.6,2.4
Steve Johnson,2m08,27,74,10,5.9,0.9
David Corzine,2m11,28,82,8.5,5.1,1.7
Sidney Green,2m06,23,48,6.1,5.1,0.6
Dave Greenwood,2m05,27,61,6.1,6.4,1.3
Wes Matthews,1m85,25,78,5.7,0.9,4.5
Ennis Whatley,1m96,22,70,5,1.4,5.4
Rod Higgins,2m01,24,68,4.5,2.2,1.1
Caldwell Jones,1m96,34,42,3.4,5,0.8
Jawann Oldham,2m15,27,63,3.4,3.7,0.5
Charles Jones,2m05,27,3,2.7,2,0.3
Chris Engler,2m11,25,3,0.7,0.7,0
