Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Michael Jordan,1m99,29,78,32.6,6.7,5.5
Scottie Pippen,2m01,27,81,18.6,7.7,6.3
Horace Grant,2m09,27,77,13.2,9.5,2.6
B.J. Armstrong,1m88,25,82,12.3,1.8,4
Scott Williams,2m09,24,71,5.9,6.4,1
Bill Cartwright,2m17,35,63,5.6,3.7,1.3
Stacey King,2m12,25,76,5.4,2.7,0.9
Trent Tucker,1m96,33,69,5.2,1,1.2
Will Perdue,2m14,27,72,4.7,4,1
John Paxson,1m88,32,59,4.2,0.8,2.3
Rodney McCray,2m03,31,64,3.5,2.5,1.3
Ricky Blanton,2m01,26,2,3,1.5,0.5
Darrell Walker,1m93,31,28,2.6,1.4,1.6
Corey Williams,1m89,22,35,2.3,0.9,0.7
Joe Courtney,2m06,23,5,2.2,0.4,0.2
Ed Nealy,2m01,32,11,2.1,1.5,0.2
Jojo English,-,22,6,1,1,0.2
