Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Marc Gasol,2m15,29,11,19.7,10.3,4.5
Zach Randolph,2m06,33,11,15.6,8.5,2.1
Mike Conley,1m85,27,8,14.4,1.1,5
Courtney Lee,1m95,29,11,13.3,2.5,2.2
Jeff Green,2m03,28,11,8.9,4.7,1.7
Beno Udrih,1m92,32,10,7.6,2,2.1
Tony Allen,1m93,32,10,6.6,5.2,1.5
Vince Carter,2m01,37,11,6.3,4.3,1
Nick Calathes,1m96,25,9,3.7,1.8,1.8
Kosta Koufos,2m13,25,11,3.4,3.5,0.4
Jordan Adams,1m95,20,4,1.8,0.3,0
Jon Leuer,2m10,25,4,1,1.3,0
Jamychal Green,2m03,24,5,0.4,0.6,0
Russ Smith,1m82,23,2,0,0,1
