Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
LaMelo Ball,2m00,22,22,23.9,5.1,8
Terry Rozier,1m85,29,30,23.2,3.9,6.6
Miles Bridges,2m01,25,69,21,7.3,3.3
Brandon Miller,2m05,21,74,17.3,4.3,2.4
Gordon Hayward,2m05,33,25,14.5,4.7,4.6
Grant Williams,2m01,25,29,13.9,5.1,3.2
P.J. Washington,2m03,25,44,13.6,5.3,2.2
Mark Williams,2m12,22,19,12.7,9.7,1.2
Tre Mann,1m96,22,28,11.9,4.5,5.2
Vasilije Micic,1m96,29,30,10.8,2.1,6.2
Nick Richards,2m12,26,67,9.7,8,0.8
Seth Curry,1m87,33,8,9,2,1.8
Davis Bertans,2m08,31,28,8.8,1.8,0.9
Cody Martin,1m96,28,28,7.5,3.9,3.7
Aleksej Pokusevski,2m12,22,18,7.4,4.4,1.7
Nick Smith,1m95,19,51,5.9,1.4,1.2
Bryce McGowens,2m00,21,59,5.1,1.7,0.9
Theo Maledon,1m92,22,13,4.2,1.8,2.2
Marques Bolden,2m08,25,9,4.1,3.6,0.4
James Bouknight,1m96,23,14,3.6,0.6,0.4
Ishmael Smith,1m85,35,43,3.2,1.8,3.4
J.T. Thor,2m08,21,63,3.2,2.3,0.5
Leaky Black,2m01,24,26,2.7,1.8,0.9
Amari Bailey,1m96,19,10,2.3,0.9,0.7
Nathan Mensah,2m07,25,25,1.3,2.6,0.4
Frank Ntilikina,1m98,25,5,1,1.2,0.8
