Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Cade Cunningham,2m03,23,70,26.1,6.1,9.1
Jaden Ivey,1m92,22,30,17.6,4.1,4
Malik Beasley,1m96,28,82,16.3,2.6,1.7
Tolu Smith,2m08,24,1,14,8,0
Tobias Harris,2m05,32,73,13.7,5.9,2.2
Jalen Duren,2m11,21,78,11.8,10.3,2.7
Tim Hardaway Jr.,1m98,32,77,11,2.4,1.6
Dennis Schroder,1m81,31,28,10.8,2.6,5.3
Ausar Thompson,2m01,,59,10.1,5.1,2.3
Marcus Sasser,1m84,24,57,6.6,1.2,2.3
Ronald Holland,2m07,19,81,6.4,2.7,1
Isaiah Stewart,2m06,23,72,6,5.5,1.7
Simone Fontecchio,2m03,29,75,5.9,2.9,0.9
Alondes Williams,1m95,25,1,5,0,1
Paul Reed,2m05,25,45,4.1,2.7,1
Ron Harper Jr.,1m97,24,1,4,7,2
Lindy Waters,1m98,27,14,3.4,1,0.7
Wendell Moore,1m97,23,20,3.2,2.2,1.2
Bobi Klintman,2m00,21,8,1.9,0.9,0.9
Daniss Jenkins,1m90,23,7,1,0.3,0.4
Cole Swider,2m02,25,2,0,1,0.5
