Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Luka Doncic,2m01,25,22,28.1,8.3,7.8
Kyrie Irving,1m94,32,50,24.7,4.8,4.6
Anthony Davis,2m09,31,9,20,10.1,4.4
P.J. Washington,2m03,26,57,14.7,7.8,2.3
Klay Thompson,2m01,34,72,14,3.4,2
Naji Marshall,2m01,26,69,13.2,4.8,3
Daniel Gafford,2m11,26,57,12.3,6.8,1.4
Moses Brown,2m18,25,4,11.8,7.8,0.5
Kai Jones,2m11,23,12,11.4,6.6,1.3
Max Christie,1m93,21,32,11.2,4.2,2.5
Spencer Dinwiddie,1m98,31,79,11,2.6,4.4
Quentin Grimes,1m97,24,47,10.2,3.8,2.1
Dereck Lively,2m16,20,36,8.7,7.5,2.4
Jaden Hardy,1m93,22,57,8.7,1.6,1.4
Dante Exum,1m93,29,20,8.7,1.7,2.8
Brandon Williams,1m88,25,33,8.3,1.8,2.3
Caleb Martin,1m96,29,14,5.4,2.9,1.9
Kessler Edwards,2m03,24,40,4.2,2.9,1.1
Olivier-Maxence Prosper,2m03,22,52,3.9,2.4,0.8
Maximilian Kleber,2m08,32,34,3,2.8,1.3
Kylor Kelley,2m13,27,8,3,2.6,0.3
Dwight Powell,2m09,33,55,2.1,2.1,1
Markieff Morris,2m08,35,7,1.7,1.1,0.6
Jazian Gortman,1m86,21,16,1.5,0.3,0.4
