Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Jordan Poole,1m92,25,68,20.5,3,4.5
Kyle Kuzma,2m06,29,32,15.2,5.8,2.5
Alexandre Sarr,2m13,19,67,13,6.5,2.4
Malcolm Brogdon,1m97,32,24,12.7,3.8,4.1
Bilal Coulibaly,1m99,20,59,12.3,5,3.4
Corey Kispert,2m01,25,61,11.6,3,1.7
Jonas Valanciunas,2m10,32,49,11.5,8.2,2.2
Khris Middleton,2m02,33,14,10.7,3.7,3.4
Carlton Carrington,1m96,19,82,9.8,4.2,4.4
Tristan Vukcevic,2m08,21,35,9.4,3.7,1.1
Marcus Smart,1m92,30,15,9.3,1.9,2.5
AJ Johnson,1m96,20,22,9.1,2.4,3.1
Justin Champagnie,1m97,23,62,8.8,5.7,1
Colby Jones,1m95,22,15,8.7,4.3,2.5
Kyshawn George,2m03,21,68,8.7,4.2,2.5
Richaun Holmes,2m06,31,31,7.4,5.7,1.4
Jared Butler,1m91,24,32,6.9,1.3,2.6
Jaylen Martin,1m98,20,13,5.8,3.4,1.3
Marvin Bagley,2m11,25,19,4.9,2.9,0.4
J.T. Thor,2m08,22,11,3.9,3.8,0.5
Anthony Gill,2m04,32,51,2.5,1.3,0.3
Johnny Davis,1m92,22,34,2.4,1.1,0.3
Patrick Baldwin Jr.,2m08,22,22,2.1,1,0.1
Jalen McDaniels,2m08,26,4,0,0,0.3
