Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Jalen Green,1m98,22,82,21,4.6,3.4
Alperen Sengun,2m08,22,76,19.1,10.3,4.9
Fred Van Vleet,1m77,30,60,14.1,3.7,5.6
Amen Thompson,2m01,,69,14.1,8.2,3.8
Dillon Brooks,1m96,28,75,14,3.7,1.7
Jabari Smith Jr.,2m09,21,57,12.2,7,1.1
Tari Eason,2m01,23,57,12,6.4,1.5
Cam Whitmore,1m98,20,51,9.4,3,1
N'Faly Dante,2m13,23,4,6,5.3,0.5
Aaron Holiday,1m85,28,62,5.5,1.3,1.3
Jeff Green,2m03,38,32,5.4,1.8,0.6
Jock Landale,2m13,29,42,4.8,3.3,0.9
Reed Sheppard,1m91,19,52,4.4,1.5,1.4
David Roddy,1m95,23,3,4.3,1.7,0.7
Steven Adams,2m15,31,57,3.9,5.7,1.2
Jae'Sean Tate,1m93,29,52,3.6,2.3,0.9
Jeenathan Williams,1m96,25,20,3.3,0.7,0.5
Jack McVeigh,2m00,28,9,1.6,0.6,0.1
